Number of elem 14133 
Number of local values per element 3 
0;0;-2.605794e-20;6.346029e-21;4.307590e-19;
0;1;3.288632e-20;1.182658e-20;-6.482719e-19;
0;2;7.834339e-20;9.224136e-21;-1.303208e-18;
1;0;4.000648e-20;1.844580e-20;-7.744626e-19;
1;1;1.502695e-20;5.059537e-21;-9.470832e-19;
1;2;8.612822e-20;3.159624e-20;-1.381026e-18;
2;0;-2.606182e-06;2.112780e-05;3.473015e-04;
2;1;-2.590555e-06;5.845370e-06;6.549130e-05;
2;2;-9.858611e-07;1.546325e-06;-4.564753e-06;
3;0;3.818848e-28;-2.344614e-28;-7.421123e-27;
3;1;-1.794907e-28;9.409782e-29;1.700395e-27;
3;2;4.709553e-28;-2.696502e-28;-7.427687e-27;
4;0;-6.907127e-06;-7.344883e-08;-7.728790e-05;
4;1;3.260986e-06;5.962373e-07;4.189449e-05;
4;2;7.421803e-06;4.127562e-07;7.488059e-05;
5;0;-7.638034e-11;8.981015e-11;-8.518367e-10;
5;1;5.621299e-11;-7.644410e-11;7.628940e-10;
5;2;4.071748e-11;-5.334374e-11;5.379848e-10;
6;0;-1.996919e-21;6.790956e-21;3.171846e-19;
6;1;4.875962e-20;-1.804868e-20;-1.272028e-18;
6;2;2.848245e-20;1.742090e-20;-6.080275e-19;
7;0;-1.346089e-05;2.836677e-06;-2.564955e-04;
7;1;-6.543878e-06;2.375842e-07;-8.102142e-05;
7;2;-2.113577e-05;1.303106e-06;-2.389640e-04;
8;0;-6.751197e-05;-1.995824e-06;1.295391e-03;
8;1;3.600324e-05;2.225915e-05;-8.198846e-04;
8;2;8.896697e-05;2.610399e-05;-2.127613e-03;
9;0;-3.878512e-18;2.109611e-18;9.632399e-17;
9;1;-4.467221e-18;6.234145e-19;7.884882e-17;
9;2;2.636216e-18;-9.559690e-19;-6.072378e-17;
10;0;8.965517e-29;-1.402119e-28;-3.158470e-27;
10;1;8.813621e-30;2.766401e-29;6.693377e-28;
10;2;4.509348e-30;7.658627e-29;1.294318e-27;
11;0;-1.243107e-05;-1.042726e-06;-8.918219e-05;
11;1;1.210692e-05;-8.291786e-07;1.012719e-04;
11;2;9.179952e-07;2.554320e-06;3.638111e-06;
12;0;-3.898020e-08;2.096541e-07;-4.238408e-06;
12;1;-4.889061e-08;3.383071e-07;-6.013441e-06;
12;2;-8.225292e-08;4.837432e-07;-8.098400e-06;
13;0;-1.621942e-05;4.511115e-06;-2.598597e-04;
13;1;-6.407098e-06;8.564578e-07;-9.891347e-05;
